# Transcript
Audio: data/audio/sample.mp3
[07:47 -> 08:08] So for example here, we see that very same question, how do I reset my password, you see what was the input, what was the output, and that specific criteria that I measure it, that specific question, how do I know if the answer is correct.
  07:47-07:48:  So
  07:48-07:48:  for
  07:48-07:48:  example
  07:48-07:48:  here,
  07:49-07:49:  we
  07:49-07:49:  see
  07:49-07:49:  that
  07:49-07:50:  very
  07:50-07:50:  same
  07:50-07:51:  question,
  07:52-07:52:  how
  07:52-07:53:  do
  07:53-07:53:  I
  07:53-07:53:  reset
  07:53-07:53:  my
  07:53-07:53:  password,
  07:54-07:54:  you
  07:54-07:55:  see
  07:55-07:56:  what
  07:56-07:56:  was
  07:56-07:56:  the
  07:56-07:56:  input,
  07:57-07:57:  what
  07:57-07:57:  was
  07:57-07:57:  the
  07:57-07:57:  output,
  07:58-07:58:  and
  07:58-07:59:  that
  07:59-08:00:  specific
  08:00-08:01:  criteria
  08:01-08:01:  that
  08:01-08:01:  I
  08:01-08:02:  measure
  08:02-08:02:  it,
  08:03-08:04:  that
  08:04-08:05:  specific
  08:05-08:05:  question,
  08:06-08:06:  how
  08:06-08:06:  do
  08:06-08:06:  I
  08:06-08:06:  know
  08:06-08:07:  if
  08:07-08:07:  the
  08:07-08:07:  answer
  08:07-08:07:  is
  08:07-08:08:  correct.

[08:08 -> 08:22] And now I can just reiterate and generate like 50 different variations of the same question, and see if I still get the right answer, if the answer matches all the checklist that I have for that specific answer.
  08:08-08:08:  And
  08:08-08:09:  now
  08:09-08:09:  I
  08:09-08:10:  can
  08:10-08:10:  just
  08:10-08:10:  reiterate
  08:10-08:10:  and
  08:10-08:11:  generate
  08:11-08:11:  like
  08:11-08:12:  50
  08:12-08:13:  different
  08:13-08:13:  variations
  08:13-08:13:  of
  08:13-08:14:  the
  08:14-08:14:  same
  08:14-08:14:  question,
  08:14-08:15:  and
  08:15-08:15:  see
  08:15-08:15:  if
  08:15-08:15:  I
  08:15-08:16:  still
  08:16-08:17:  get
  08:17-08:17:  the
  08:17-08:17:  right
  08:17-08:17:  answer,
  08:18-08:18:  if
  08:18-08:18:  the
  08:18-08:19:  answer
  08:19-08:19:  matches
  08:19-08:19:  all
  08:19-08:20:  the
  08:20-08:20:  checklist
  08:20-08:21:  that
  08:21-08:21:  I
  08:21-08:21:  have
  08:21-08:21:  for
  08:21-08:22:  that
  08:22-08:22:  specific
  08:22-08:22:  answer.

[08:25 -> 08:36] How the process usually works, so contrary to regular approach, you build your evolves, not at the end of the process, but at the very beginning of the process.
  08:25-08:25:  How
  08:25-08:26:  the
  08:26-08:26:  process
  08:26-08:27:  usually
  08:27-08:27:  works,
  08:27-08:29:  so
  08:29-08:30:  contrary
  08:30-08:30:  to
  08:30-08:31:  regular
  08:31-08:31:  approach,
  08:32-08:32:  you
  08:32-08:32:  build
  08:32-08:32:  your
  08:32-08:32:  evolves,
  08:33-08:33:  not
  08:33-08:33:  at
  08:33-08:33:  the
  08:33-08:34:  end
  08:34-08:34:  of
  08:34-08:34:  the
  08:34-08:34:  process,
  08:35-08:35:  but
  08:35-08:35:  at
  08:35-08:35:  the
  08:35-08:35:  very
  08:35-08:36:  beginning
  08:36-08:36:  of
  08:36-08:36:  the
  08:36-08:36:  process.

[08:36 -> 08:54] So you just build your first version of the POC, you define a first version of your tests, evaluations, you run them, and you see what's going on, you will see that in some cases it will fail, in some cases it will succeed.
  08:36-08:37:  So
  08:37-08:37:  you
  08:37-08:38:  just
  08:38-08:38:  build
  08:38-08:39:  your
  08:39-08:39:  first
  08:39-08:39:  version
  08:39-08:40:  of
  08:40-08:40:  the
  08:40-08:41:  POC,
  08:42-08:42:  you
  08:42-08:43:  define
  08:43-08:43:  a
  08:43-08:44:  first
  08:44-08:44:  version
  08:44-08:44:  of
  08:44-08:44:  your
  08:44-08:45:  tests,
  08:45-08:46:  evaluations,
  08:46-08:47:  you
  08:47-08:47:  run
  08:47-08:47:  them,
  08:48-08:48:  and
  08:48-08:48:  you
  08:48-08:48:  see
  08:48-08:48:  what's
  08:48-08:48:  going
  08:48-08:49:  on,
  08:49-08:49:  you
  08:49-08:49:  will
  08:49-08:50:  see
  08:50-08:50:  that
  08:50-08:50:  in
  08:50-08:51:  some
  08:51-08:51:  cases
  08:51-08:51:  it
  08:51-08:51:  will
  08:51-08:52:  fail,
  08:52-08:53:  in
  08:53-08:53:  some
  08:53-08:53:  cases
  08:53-08:53:  it
  08:53-08:53:  will
  08:53-08:54:  succeed.

[08:54 -> 09:05] What's important is to look at the details, not just see the average numbers, the average numbers won't tell you anything, won't tell you how to improve it.
  08:54-08:55:  What's
  08:55-08:55:  important
  08:55-08:56:  is
  08:56-08:56:  to
  08:56-08:57:  look
  08:57-08:57:  at
  08:57-08:57:  the
  08:57-08:58:  details,
  08:58-08:58:  not
  08:58-08:58:  just
  08:58-08:58:  see
  08:58-08:59:  the
  08:59-08:59:  average
  08:59-08:59:  numbers,
  08:59-09:00:  the
  09:00-09:00:  average
  09:00-09:00:  numbers
  09:00-09:01:  won't
  09:01-09:01:  tell
  09:01-09:01:  you
  09:01-09:01:  anything,
  09:02-09:03:  won't
  09:03-09:04:  tell
  09:04-09:04:  you
  09:04-09:04:  how
  09:04-09:04:  to
  09:04-09:05:  improve
  09:05-09:05:  it.

[09:05 -> 09:15] If you actually look at the details of each evaluation, you'll see exactly why it's failing, it could be failing because your test is not defined correctly.
  09:05-09:05:  If
  09:05-09:06:  you
  09:06-09:06:  actually
  09:06-09:06:  look
  09:06-09:06:  at
  09:06-09:06:  the
  09:06-09:07:  details
  09:07-09:07:  of
  09:07-09:07:  each
  09:07-09:08:  evaluation,
  09:09-09:09:  you'll
  09:09-09:09:  see
  09:09-09:09:  exactly
  09:09-09:10:  why
  09:10-09:10:  it's
  09:10-09:10:  failing,
  09:10-09:11:  it
  09:11-09:11:  could
  09:11-09:11:  be
  09:11-09:11:  failing
  09:11-09:13:  because
  09:13-09:13:  your
  09:13-09:13:  test
  09:13-09:14:  is
  09:14-09:14:  not
  09:14-09:14:  defined
  09:14-09:15:  correctly.

[09:15 -> 09:36] It could be failing because your solution is not working as it should be, and in order to do it, you may need to do a change in your logic, you may change a prompt, or the data that you use in order to answer a question in our example.
  09:15-09:15:  It
  09:15-09:16:  could
  09:16-09:16:  be
  09:16-09:16:  failing
  09:16-09:16:  because
  09:16-09:17:  your
  09:17-09:17:  solution
  09:17-09:18:  is
  09:18-09:18:  not
  09:18-09:18:  working
  09:18-09:19:  as
  09:19-09:19:  it
  09:19-09:19:  should
  09:19-09:19:  be,
  09:20-09:20:  and
  09:20-09:21:  in
  09:21-09:21:  order
  09:21-09:22:  to
  09:22-09:22:  do
  09:22-09:22:  it,
  09:22-09:22:  you
  09:22-09:23:  may
  09:23-09:23:  need
  09:23-09:24:  to
  09:24-09:24:  do
  09:24-09:24:  a
  09:24-09:25:  change
  09:25-09:25:  in
  09:25-09:26:  your
  09:26-09:27:  logic,
  09:29-09:29:  you
  09:29-09:29:  may
  09:29-09:29:  change
  09:29-09:29:  a
  09:29-09:30:  prompt,
  09:31-09:31:  or
  09:31-09:31:  the
  09:31-09:31:  data
  09:31-09:32:  that
  09:32-09:32:  you
  09:32-09:32:  use
  09:32-09:32:  in
  09:32-09:32:  order
  09:32-09:33:  to
  09:33-09:34:  answer
  09:34-09:34:  a
  09:34-09:35:  question
  09:35-09:35:  in
  09:35-09:35:  our
  09:35-09:36:  example.

[09:38 -> 09:57] Basically, what you do now is experimentation, so you start running your experiment, you change something, you need to define these tests in a way that will help you to make an educated guess on what you need to change in order to do it, in some cases it will work, in some cases it won't.
  09:38-09:38:  Basically,
  09:39-09:39:  what
  09:39-09:39:  you
  09:39-09:39:  do
  09:39-09:39:  now
  09:39-09:39:  is
  09:39-09:40:  experimentation,
  09:40-09:40:  so
  09:40-09:41:  you
  09:41-09:41:  start
  09:41-09:42:  running
  09:42-09:42:  your
  09:42-09:42:  experiment,
  09:43-09:43:  you
  09:43-09:43:  change
  09:43-09:43:  something,
  09:44-09:44:  you
  09:44-09:45:  need
  09:45-09:45:  to
  09:45-09:45:  define
  09:45-09:46:  these
  09:46-09:46:  tests
  09:46-09:47:  in
  09:47-09:47:  a
  09:47-09:47:  way
  09:47-09:47:  that
  09:47-09:48:  will
  09:48-09:49:  help
  09:49-09:49:  you
  09:49-09:49:  to
  09:49-09:49:  make
  09:49-09:50:  an
  09:50-09:50:  educated
  09:50-09:51:  guess
  09:51-09:51:  on
  09:51-09:52:  what
  09:52-09:53:  you
  09:53-09:53:  need
  09:53-09:53:  to
  09:53-09:53:  change
  09:53-09:54:  in
  09:54-09:54:  order
  09:54-09:54:  to
  09:54-09:54:  do
  09:54-09:55:  it,
  09:55-09:55:  in
  09:55-09:56:  some
  09:56-09:56:  cases
  09:56-09:56:  it
  09:56-09:56:  will
  09:56-09:56:  work,
  09:56-09:57:  in
  09:57-09:57:  some
  09:57-09:57:  cases
  09:57-09:57:  it
  09:57-09:57:  won't.

[09:57 -> 10:18] But even if it works, let's say you change something in your prompt, and it fixed this test. In my experience, in many cases it breaks something that used to work before, you have constant regressions, and if you don't have these evaluations, there's no way you'll be able to catch it on time.
  09:57-09:58:  But
  09:58-09:58:  even
  09:58-09:58:  if
  09:58-09:58:  it
  09:58-09:59:  works,
  10:00-10:01:  let's
  10:01-10:01:  say
  10:01-10:01:  you
  10:01-10:01:  change
  10:01-10:02:  something
  10:02-10:02:  in
  10:02-10:02:  your
  10:02-10:02:  prompt,
  10:03-10:03:  and
  10:03-10:03:  it
  10:03-10:03:  fixed
  10:03-10:04:  this
  10:04-10:04:  test.
  10:05-10:05:  In
  10:05-10:05:  my
  10:05-10:06:  experience,
  10:06-10:06:  in
  10:06-10:06:  many
  10:06-10:06:  cases
  10:06-10:07:  it
  10:07-10:07:  breaks
  10:07-10:08:  something
  10:08-10:08:  that
  10:08-10:08:  used
  10:08-10:09:  to
  10:09-10:09:  work
  10:09-10:09:  before,
  10:10-10:11:  you
  10:11-10:12:  have
  10:12-10:12:  constant
  10:12-10:13:  regressions,
  10:13-10:14:  and
  10:14-10:14:  if
  10:14-10:14:  you
  10:14-10:14:  don't
  10:14-10:15:  have
  10:15-10:15:  these
  10:15-10:15:  evaluations,
  10:16-10:16:  there's
  10:16-10:16:  no
  10:16-10:16:  way
  10:16-10:16:  you'll
  10:16-10:17:  be
  10:17-10:17:  able
  10:17-10:17:  to
  10:17-10:17:  catch
  10:17-10:17:  it
  10:17-10:17:  on
  10:17-10:18:  time.

[10:18 -> 10:45] So this is hugely important, and what actually happens is that, again, you build your first version, you build your first version of the evals, you match them, you run these evals, you improve something, you improve your evals, or maybe add more evaluations, and then you continuously improve it until you reach some point where you are satisfied with your evals, for this specific solution, for that specific point of time.
  10:18-10:18:  So
  10:18-10:20:  this
  10:20-10:20:  is
  10:20-10:20:  hugely
  10:20-10:21:  important,
  10:21-10:21:  and
  10:21-10:21:  what
  10:21-10:22:  actually
  10:22-10:23:  happens
  10:23-10:23:  is
  10:23-10:23:  that,
  10:23-10:23:  again,
  10:23-10:24:  you
  10:24-10:24:  build
  10:24-10:24:  your
  10:24-10:24:  first
  10:24-10:25:  version,
  10:25-10:25:  you
  10:25-10:25:  build
  10:25-10:26:  your
  10:26-10:26:  first
  10:26-10:26:  version
  10:26-10:26:  of
  10:26-10:26:  the
  10:26-10:27:  evals,
  10:27-10:28:  you
  10:28-10:28:  match
  10:28-10:28:  them,
  10:28-10:28:  you
  10:28-10:29:  run
  10:29-10:29:  these
  10:29-10:29:  evals,
  10:29-10:30:  you
  10:30-10:30:  improve
  10:30-10:30:  something,
  10:30-10:30:  you
  10:30-10:31:  improve
  10:31-10:31:  your
  10:31-10:31:  evals,
  10:31-10:31:  or
  10:31-10:32:  maybe
  10:32-10:32:  add
  10:32-10:32:  more
  10:32-10:33:  evaluations,
  10:34-10:34:  and
  10:34-10:34:  then
  10:34-10:34:  you
  10:34-10:35:  continuously
  10:35-10:36:  improve
  10:36-10:36:  it
  10:36-10:37:  until
  10:37-10:37:  you
  10:37-10:37:  reach
  10:37-10:38:  some
  10:38-10:39:  point
  10:39-10:39:  where
  10:39-10:39:  you
  10:39-10:39:  are
  10:39-10:40:  satisfied
  10:40-10:41:  with
  10:41-10:41:  your
  10:41-10:41:  evals,
  10:42-10:42:  for
  10:42-10:42:  this
  10:42-10:43:  specific
  10:43-10:43:  solution,
  10:43-10:43:  for
  10:43-10:44:  that
  10:44-10:44:  specific
  10:44-10:44:  point
  10:44-10:44:  of
  10:44-10:45:  time.

[10:46 -> 11:10] And what actually happened is that you got your baseline, you got your benchmark, that now you can start optimizing, and you have the confidence that the tests should be working, so now you can try another model, let's say, well, what, how can I try to see if Foro Mini will work the same way with Foro, or not?
  10:46-10:46:  And
  10:46-10:47:  what
  10:47-10:47:  actually
  10:47-10:48:  happened
  10:48-10:48:  is
  10:48-10:48:  that
  10:48-10:48:  you
  10:48-10:49:  got
  10:49-10:49:  your
  10:49-10:50:  baseline,
  10:50-10:50:  you
  10:50-10:50:  got
  10:50-10:50:  your
  10:50-10:51:  benchmark,
  10:51-10:51:  that
  10:51-10:52:  now
  10:52-10:52:  you
  10:52-10:53:  can
  10:53-10:53:  start
  10:53-10:54:  optimizing,
  10:54-10:55:  and
  10:55-10:56:  you
  10:56-10:56:  have
  10:56-10:56:  the
  10:56-10:57:  confidence
  10:57-10:58:  that
  10:58-10:58:  the
  10:58-10:58:  tests
  10:58-10:59:  should
  10:59-10:59:  be
  10:59-11:00:  working,
  11:00-11:00:  so
  11:00-11:00:  now
  11:00-11:01:  you
  11:01-11:01:  can
  11:01-11:01:  try
  11:01-11:01:  another
  11:01-11:02:  model,
  11:02-11:02:  let's
  11:02-11:02:  say,
  11:03-11:03:  well,
  11:03-11:03:  what,
  11:04-11:04:  how
  11:04-11:04:  can
  11:04-11:04:  I
  11:04-11:05:  try
  11:05-11:05:  to
  11:05-11:05:  see
  11:05-11:06:  if
  11:06-11:06:  Foro
  11:06-11:06:  Mini
  11:06-11:07:  will
  11:07-11:08:  work
  11:08-11:08:  the
  11:08-11:08:  same
  11:08-11:09:  way
  11:09-11:09:  with
  11:09-11:09:  Foro,
  11:10-11:10:  or
  11:10-11:10:  not?

[11:11 -> 11:33] Can I use the graph rag, or can I try a simpler solution? Should I have to use the agentic approach that maybe better, but requires more time, more inference costs, etc., or should they try to simplify the logic, or maybe I can simplify the logic for a specific portion of the application, etc., etc.
  11:11-11:12:  Can
  11:12-11:12:  I
  11:12-11:12:  use
  11:12-11:12:  the
  11:12-11:12:  graph
  11:12-11:13:  rag,
  11:13-11:13:  or
  11:13-11:13:  can
  11:13-11:13:  I
  11:13-11:13:  try
  11:13-11:14:  a
  11:14-11:14:  simpler
  11:14-11:14:  solution?
  11:15-11:16:  Should
  11:16-11:16:  I
  11:16-11:16:  have
  11:16-11:17:  to
  11:17-11:17:  use
  11:17-11:18:  the
  11:18-11:18:  agentic
  11:18-11:18:  approach
  11:18-11:19:  that
  11:19-11:21:  maybe
  11:21-11:22:  better,
  11:22-11:22:  but
  11:22-11:23:  requires
  11:23-11:24:  more
  11:24-11:24:  time,
  11:24-11:25:  more
  11:25-11:26:  inference
  11:26-11:26:  costs,
  11:26-11:26:  etc.,
  11:26-11:27:  or
  11:27-11:27:  should
  11:27-11:27:  they
  11:27-11:27:  try
  11:27-11:27:  to
  11:27-11:28:  simplify
  11:28-11:28:  the
  11:28-11:28:  logic,
  11:28-11:28:  or
  11:28-11:29:  maybe
  11:29-11:29:  I
  11:29-11:29:  can
  11:29-11:29:  simplify
  11:29-11:29:  the
  11:29-11:30:  logic
  11:30-11:30:  for
  11:30-11:31:  a
  11:31-11:31:  specific
  11:31-11:31:  portion
  11:31-11:32:  of
  11:32-11:32:  the
  11:32-11:32:  application,
  11:33-11:33:  etc.,
  11:33-11:33:  etc.

[11:33 -> 12:01] Having this benchmark allows you to do all visit to limitations with confidence, but again, the most important part is how do you reach this benchmark, and while the approach is pretty much the same, the evaluations that you need to build, and how do you build your evaluations are completely different depending on the solution that you need to build, because the models are super capable right now,
  11:33-11:34:  Having
  11:34-11:35:  this
  11:35-11:35:  benchmark
  11:35-11:37:  allows
  11:37-11:37:  you
  11:37-11:37:  to
  11:37-11:37:  do
  11:37-11:38:  all
  11:38-11:38:  visit
  11:38-11:38:  to
  11:38-11:39:  limitations
  11:39-11:40:  with
  11:40-11:40:  confidence,
  11:40-11:41:  but
  11:41-11:41:  again,
  11:41-11:41:  the
  11:41-11:42:  most
  11:42-11:42:  important
  11:42-11:42:  part
  11:42-11:42:  is
  11:42-11:43:  how
  11:43-11:43:  do
  11:43-11:43:  you
  11:43-11:44:  reach
  11:44-11:44:  this
  11:44-11:44:  benchmark,
  11:45-11:46:  and
  11:46-11:47:  while
  11:47-11:47:  the
  11:47-11:47:  approach
  11:47-11:48:  is
  11:48-11:49:  pretty
  11:49-11:49:  much
  11:49-11:50:  the
  11:50-11:50:  same,
  11:50-11:51:  the
  11:51-11:51:  evaluations
  11:51-11:52:  that
  11:52-11:52:  you
  11:52-11:52:  need
  11:52-11:52:  to
  11:52-11:52:  build,
  11:52-11:52:  and
  11:52-11:53:  how
  11:53-11:53:  do
  11:53-11:53:  you
  11:53-11:53:  build
  11:53-11:53:  your
  11:53-11:54:  evaluations
  11:54-11:54:  are
  11:54-11:54:  completely
  11:54-11:55:  different
  11:55-11:55:  depending
  11:55-11:55:  on
  11:55-11:56:  the
  11:56-11:57:  solution
  11:57-11:57:  that
  11:57-11:57:  you
  11:57-11:57:  need
  11:57-11:57:  to
  11:57-11:58:  build,
  11:58-11:59:  because
  11:59-11:59:  the
  11:59-11:59:  models
  11:59-12:00:  are
  12:00-12:00:  super
  12:00-12:01:  capable
  12:01-12:01:  right
  12:01-12:01:  now,

[12:01 -> 12:11] so they allow you to build a huge variety of solutions, but each and every solution is quite different in terms of how do you evaluate it.
  12:01-12:02:  so
  12:02-12:02:  they
  12:02-12:03:  allow
  12:03-12:03:  you
  12:03-12:03:  to
  12:03-12:03:  build
  12:03-12:04:  a
  12:04-12:04:  huge
  12:04-12:04:  variety
  12:04-12:05:  of
  12:05-12:05:  solutions,
  12:06-12:06:  but
  12:06-12:07:  each
  12:07-12:07:  and
  12:07-12:07:  every
  12:07-12:07:  solution
  12:07-12:08:  is
  12:08-12:08:  quite
  12:08-12:09:  different
  12:09-12:09:  in
  12:09-12:09:  terms
  12:09-12:09:  of
  12:09-12:10:  how
  12:10-12:10:  do
  12:10-12:10:  you
  12:10-12:11:  evaluate
  12:11-12:11:  it.

[12:12 -> 12:28] For support bot, you usually typically use lm as a judge, as an example. If your building takes to a scale, or takes to graph database, then to my experience the best way is to create a mock database that represents
  12:12-12:12:  For
  12:12-12:12:  support
  12:12-12:13:  bot,
  12:13-12:13:  you
  12:13-12:14:  usually
  12:14-12:14:  typically
  12:14-12:15:  use
  12:15-12:15:  lm
  12:15-12:15:  as
  12:15-12:15:  a
  12:15-12:15:  judge,
  12:16-12:16:  as
  12:16-12:16:  an
  12:16-12:17:  example.
  12:18-12:18:  If
  12:18-12:19:  your
  12:19-12:19:  building
  12:19-12:19:  takes
  12:19-12:19:  to
  12:19-12:20:  a
  12:20-12:20:  scale,
  12:20-12:20:  or
  12:20-12:20:  takes
  12:20-12:21:  to
  12:21-12:21:  graph
  12:21-12:21:  database,
  12:22-12:22:  then
  12:22-12:23:  to
  12:23-12:23:  my
  12:23-12:23:  experience
  12:23-12:23:  the
  12:23-12:24:  best
  12:24-12:24:  way
  12:24-12:25:  is
  12:25-12:25:  to
  12:25-12:25:  create
  12:25-12:25:  a
  12:25-12:25:  mock
  12:25-12:26:  database
  12:26-12:26:  that
  12:26-12:28:  represents

[12:30 -> 12:42] whatever database or databases that you need your solution to work with, represent the same schema, and you have the mock data, so you know exactly what to expect on specific questions.
  12:30-12:31:  whatever
  12:31-12:31:  database
  12:31-12:31:  or
  12:31-12:32:  databases
  12:32-12:32:  that
  12:32-12:32:  you
  12:32-12:33:  need
  12:33-12:34:  your
  12:34-12:34:  solution
  12:34-12:34:  to
  12:34-12:35:  work
  12:35-12:35:  with,
  12:35-12:36:  represent
  12:36-12:36:  the
  12:36-12:36:  same
  12:36-12:36:  schema,
  12:36-12:36:  and
  12:36-12:37:  you
  12:37-12:37:  have
  12:37-12:37:  the
  12:37-12:37:  mock
  12:37-12:37:  data,
  12:38-12:38:  so
  12:38-12:38:  you
  12:38-12:38:  know
  12:38-12:39:  exactly
  12:39-12:40:  what
  12:40-12:40:  to
  12:40-12:41:  expect
  12:41-12:41:  on
  12:41-12:42:  specific
  12:42-12:42:  questions.

[12:43 -> 12:53] If you need to build some classifier for call center conversations, then your tests are simple much, whenever this is the right rubric or not.
  12:43-12:44:  If
  12:44-12:44:  you
  12:44-12:44:  need
  12:44-12:44:  to
  12:44-12:45:  build
  12:45-12:45:  some
  12:45-12:45:  classifier
  12:45-12:46:  for
  12:46-12:46:  call
  12:46-12:46:  center
  12:46-12:47:  conversations,
  12:47-12:47:  then
  12:47-12:48:  your
  12:48-12:49:  tests
  12:49-12:49:  are
  12:49-12:50:  simple
  12:50-12:51:  much,
  12:51-12:51:  whenever
  12:51-12:51:  this
  12:51-12:51:  is
  12:51-12:52:  the
  12:52-12:52:  right
  12:52-12:52:  rubric
  12:52-12:52:  or
  12:52-12:53:  not.

[12:54 -> 13:21] And this approach applies to guardrails, so getting back to the example of customer support bot, guardrails you need to cover questions that should not be answered, or questions that should be answered in different ways, or questions that the answers are not in the material, so all of these you can put into your benchmark, just different type of benchmark, but it's pretty much the same approach.
  12:54-12:54:  And
  12:54-12:54:  this
  12:54-12:55:  approach
  12:55-12:56:  applies
  12:56-12:56:  to
  12:56-12:57:  guardrails,
  12:57-12:57:  so
  12:57-12:59:  getting
  12:59-12:59:  back
  12:59-12:59:  to
  12:59-12:59:  the
  12:59-13:01:  example
  13:01-13:01:  of
  13:01-13:02:  customer
  13:02-13:02:  support
  13:02-13:02:  bot,
  13:03-13:04:  guardrails
  13:04-13:04:  you
  13:04-13:05:  need
  13:05-13:05:  to
  13:05-13:05:  cover
  13:05-13:06:  questions
  13:06-13:07:  that
  13:07-13:07:  should
  13:07-13:07:  not
  13:07-13:08:  be
  13:08-13:08:  answered,
  13:08-13:08:  or
  13:08-13:09:  questions
  13:09-13:09:  that
  13:09-13:09:  should
  13:09-13:09:  be
  13:09-13:10:  answered
  13:10-13:10:  in
  13:10-13:10:  different
  13:10-13:11:  ways,
  13:11-13:11:  or
  13:11-13:11:  questions
  13:11-13:11:  that
  13:11-13:12:  the
  13:12-13:13:  answers
  13:13-13:13:  are
  13:13-13:14:  not
  13:14-13:14:  in
  13:14-13:14:  the
  13:14-13:14:  material,
  13:15-13:15:  so
  13:15-13:15:  all
  13:15-13:15:  of
  13:15-13:15:  these
  13:15-13:16:  you
  13:16-13:16:  can
  13:16-13:16:  put
  13:16-13:17:  into
  13:17-13:17:  your
  13:17-13:17:  benchmark,
  13:17-13:17:  just
  13:17-13:18:  different
  13:18-13:18:  type
  13:18-13:19:  of
  13:19-13:19:  benchmark,
  13:19-13:19:  but
  13:19-13:19:  it's
  13:19-13:20:  pretty
  13:20-13:20:  much
  13:20-13:20:  the
  13:20-13:20:  same
  13:20-13:21:  approach.

[13:23 -> 13:38] So just to reiterate the key takeaways, you need to evaluate your apps the way your users actually use them, and avoid abstract metrics, because these abstract vectors don't really measure anything important.
  13:23-13:24:  So
  13:24-13:24:  just
  13:24-13:24:  to
  13:24-13:25:  reiterate
  13:25-13:26:  the
  13:26-13:26:  key
  13:26-13:26:  takeaways,
  13:27-13:27:  you
  13:27-13:27:  need
  13:27-13:27:  to
  13:27-13:28:  evaluate
  13:28-13:28:  your
  13:28-13:28:  apps
  13:28-13:28:  the
  13:28-13:28:  way
  13:28-13:29:  your
  13:29-13:29:  users
  13:29-13:30:  actually
  13:30-13:30:  use
  13:30-13:30:  them,
  13:31-13:32:  and
  13:32-13:33:  avoid
  13:33-13:33:  abstract
  13:33-13:34:  metrics,
  13:34-13:35:  because
  13:35-13:36:  these
  13:36-13:36:  abstract
  13:36-13:36:  vectors
  13:36-13:37:  don't
  13:37-13:37:  really
  13:37-13:37:  measure
  13:37-13:38:  anything
  13:38-13:38:  important.

[13:39 -> 14:07] And the approach is for experimentation, so you run these evaluations frequently, that allows you to have rapid progress with less regressions, because testing frequently helps you to catch with surprises, but most importantly what you get, if you define your evaluations correctly, you get your solution pretty much as kind of explainable AI, because you know exactly what it does,
  13:39-13:39:  And
  13:39-13:40:  the
  13:40-13:40:  approach
  13:40-13:41:  is
  13:41-13:41:  for
  13:41-13:42:  experimentation,
  13:42-13:42:  so
  13:42-13:42:  you
  13:42-13:42:  run
  13:42-13:43:  these
  13:43-13:43:  evaluations
  13:43-13:44:  frequently,
  13:44-13:45:  that
  13:45-13:45:  allows
  13:45-13:45:  you
  13:45-13:46:  to
  13:46-13:46:  have
  13:46-13:47:  rapid
  13:47-13:47:  progress
  13:47-13:48:  with
  13:48-13:48:  less
  13:48-13:49:  regressions,
  13:50-13:50:  because
  13:50-13:51:  testing
  13:51-13:52:  frequently
  13:52-13:52:  helps
  13:52-13:52:  you
  13:52-13:53:  to
  13:53-13:53:  catch
  13:53-13:53:  with
  13:53-13:54:  surprises,
  13:54-13:55:  but
  13:55-13:55:  most
  13:55-13:56:  importantly
  13:56-13:56:  what
  13:56-13:56:  you
  13:56-13:57:  get,
  13:57-13:58:  if
  13:58-13:58:  you
  13:58-13:59:  define
  13:59-13:59:  your
  13:59-13:59:  evaluations
  13:59-14:00:  correctly,
  14:00-14:00:  you
  14:00-14:01:  get
  14:01-14:01:  your
  14:01-14:02:  solution
  14:02-14:02:  pretty
  14:02-14:02:  much
  14:02-14:03:  as
  14:03-14:04:  kind
  14:04-14:04:  of
  14:04-14:05:  explainable
  14:05-14:05:  AI,
  14:06-14:06:  because
  14:06-14:06:  you
  14:06-14:06:  know
  14:06-14:06:  exactly
  14:06-14:07:  what
  14:07-14:07:  it
  14:07-14:07:  does,

[14:07 -> 14:10] you know exactly how it does it, if you test it the right way.
  14:07-14:07:  you
  14:07-14:07:  know
  14:07-14:08:  exactly
  14:08-14:08:  how
  14:08-14:08:  it
  14:08-14:08:  does
  14:08-14:09:  it,
  14:09-14:10:  if
  14:10-14:10:  you
  14:10-14:10:  test
  14:10-14:10:  it
  14:10-14:10:  the
  14:10-14:10:  right
  14:10-14:10:  way.

[14:13 -> 14:25] Thank you very much, take a look at Multinear, that's a platform that you can use to run these evaluations, you can totally use any other platform.
  14:13-14:13:  Thank
  14:13-14:13:  you
  14:13-14:13:  very
  14:13-14:14:  much,
  14:14-14:16:  take
  14:16-14:16:  a
  14:16-14:16:  look
  14:16-14:16:  at
  14:16-14:17:  Multinear,
  14:18-14:19:  that's
  14:19-14:19:  a
  14:19-14:20:  platform
  14:20-14:20:  that
  14:20-14:20:  you
  14:20-14:20:  can
  14:20-14:21:  use
  14:21-14:21:  to
  14:21-14:22:  run
  14:22-14:22:  these
  14:22-14:22:  evaluations,
  14:23-14:23:  you
  14:23-14:24:  can
  14:24-14:24:  totally
  14:24-14:24:  use
  14:24-14:25:  any
  14:25-14:25:  other
  14:25-14:25:  platform.

[14:25 -> 14:39] The approach is quite simple, it doesn't require any specific platform, I built Multinear just because no other platform helped me to do it this way, to help me with the process of evaluation like end to end.
  14:25-14:25:  The
  14:25-14:26:  approach
  14:26-14:26:  is
  14:26-14:27:  quite
  14:27-14:28:  simple,
  14:28-14:28:  it
  14:28-14:28:  doesn't
  14:28-14:28:  require
  14:28-14:29:  any
  14:29-14:29:  specific
  14:29-14:30:  platform,
  14:30-14:31:  I
  14:31-14:31:  built
